"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC009xCC040","X5489x16557","92","D7","TotalG","SARS","S",7.08005371074053
"CC019xCC002","X16513x15156","98","DRECHAL","IgG3","SARS","S",0.0874015962125982
"CC019xCC002","X16513x15156","86","DRECHAL","IgG3","SARS","S",0.239662587557347
"CC019xCC002","X16513x15156","9","D29","IgG3","SARS","S",0.153489778797552
"CC014xCC059","X3415x16012","89","D29","IgG2b","SARS","S",2.22405085418527
"CC019xCC002","X16513x15156","98","DRECHAL","IgG2b","SARS","S",2.54975051831533
"CC019xCC002","X16513x15156","18","D29","IgG2b","SARS","S",2.31132248694734
"CC019xCC002","X16513x15156","1","D29","IgG2b","SARS","S",3.27264256536732
"CC029xCC027","X3564x8027","60","D29","TotalG","SARS","N",0.801067516166112
"CC006xCC007","X16750x13421","85","D15","TotalG","SARS","N",3.31136468802779
"CC019xCC002","X16513x15156","8","D15","IgG2b","SARS","S",1.43244732589014
"CC019xCC027","X16513x8027","118","D29","TotalG","SARS","N",1.50616611615444
"CC019xCC002","X16513x15156","98","DRECHAL","IgG2ac","SARS","S",3.87440400473996
"CC045xCC044","X8045x4410","167","DRECHAL","IgG3","SARS","S",5.07991044551836
"CC019xCC002","X16513x15156","86","DRECHAL","IgG2ac","SARS","S",4.59979938418812
"CC019xCC002","X16513x15156","18","D29","IgG2ac","SARS","S",5.60806726433915
"CC019xCC002","X16513x15156","18","D29","IgG1","SARS","S",1.02146488392676
"CC019xCC002","X16513x15156","9","D29","IgG1","SARS","S",1.1632787455823
"CC019xCC002","X16513x15156","8","D15","IgG1","SARS","S",0.522776309241911
"CC019xCC002","X16513x15156","99","DRECHAL","TotalG","SARS","S",5.29859991625899
"CC019xCC002","X16513x15156","98","DRECHAL","TotalG","SARS","S",4.6518646880278
"CC019xCC002","X16513x15156","8","D15","TotalG","SARS","S",3.64542999186746
"CC010xCC060","X8018x3460","130","DRECHAL","IgG2ac","SARS","N",1.25737602929997
"CC045xCC044","X8045x4410","167","DRECHAL","TotalG","SARS","S",5.95639733994763
"CC010xCC060","X8018x3460","125","DRECHAL","IgG2ac","SARS","N",2.75107415314542
"CC046xCC068","X5346x16768","31","DRECHAL","IgM","SARS","N",-0.0397974236886444
"CC010xCC060","X8018x3460","65","D15","IgG2ac","SARS","N",1.17585315055469
