"RIX","ID","RIX_ID","Cohort","Treatment","Day","D1per","D2per","D3per","D4per","D5per","D6per","D7per","D8per","D9per","D10per","D11per","D12per","D13per","D14per","D15per","D45per"
"CC072xCC075","109","16521x3260_109","10_15x","Influenza","4",101.038062283737,100.346020761246,98.961937716263,95.5017301038062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","115","16521x3260_115","10_15x","Influenza","7",101.754385964912,104.385964912281,97.8070175438597,94.2982456140351,94.2982456140351,91.6666666666667,85.5263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","121","16521x3260_121","10_15x","Influenza","7",99.5575221238938,101.769911504425,96.9026548672566,92.4778761061947,91.5929203539823,91.1504424778761,88.4955752212389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","122","16521x3260_122","10_15x","Influenza","7",100.381679389313,100,98.8549618320611,95.0381679389313,94.2748091603053,94.2748091603053,91.6030534351145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","94","16521x3260_94","9_15ix","Influenza","15",94.2148760330579,97.1074380165289,95.4545454545455,93.3884297520661,92.5619834710744,94.2148760330579,92.1487603305785,95.0413223140496,95.8677685950413,98.3471074380165,101.239669421488,100.826446280992,101.652892561983,100,101.239669421488,NA
"CC072xCC075","95","16521x3260_95","9_15ix","Influenza","15",97.5206611570248,100.413223140496,95.8677685950413,93.3884297520661,90.9090909090909,89.6694214876033,85.9504132231405,85.5371900826446,88.8429752066116,89.6694214876033,95.4545454545455,94.2148760330579,93.801652892562,96.2809917355372,99.5867768595041,NA
"CC072xCC075","96","16521x3260_96","9_15ix","Influenza","15",95.6896551724138,98.7068965517241,98.2758620689655,98.7068965517241,95.2586206896552,97.8448275862069,94.8275862068966,100,98.2758620689655,99.5689655172414,103.01724137931,98.2758620689655,99.5689655172414,99.1379310344828,104.741379310345,NA
"CC072xCC063","3","16521x5391_3","10_15x","Influenza","2",95.2173913043478,100.434782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","9","16521x5391_9","10_15x","Influenza","2",98.695652173913,99.5652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","10","16521x5391_10","10_15x","Influenza","2",98.6363636363636,102.272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","143","16521x5391_143","3_16iii","Influenza","4",103.636363636364,100,101.363636363636,105.454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","144","16521x5391_144","3_16iii","Influenza","4",97.6744186046512,97.2093023255814,96.2790697674419,97.6744186046512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","148","16521x5391_148","3_16iii","Influenza","4",103.5,99.5,100,121.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","149","16521x5391_149","3_16iii","Influenza","4",103.01724137931,101.293103448276,100,90.5172413793103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","31","16521x5391_31","11_15xi","Influenza","7",101.204819277108,99.5983935742972,90.7630522088353,91.9678714859438,95.9839357429719,100.803212851406,103.212851405622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","38","16521x5391_38","11_15xi","Influenza","7",98.8416988416989,98.0694980694981,89.1891891891892,92.2779922779923,96.9111969111969,100,103.474903474903,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","44","16521x5391_44","11_15xi","Influenza","7",99.5475113122172,96.3800904977376,89.1402714932127,92.3076923076923,93.2126696832579,96.3800904977376,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","157","16521x5391_157","3_16iii","Influenza","7",100,94.9238578680203,95.4314720812183,98.9847715736041,101.015228426396,101.015228426396,106.598984771574,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","158","16521x5391_158","3_16iii","Influenza","7",100.510204081633,98.469387755102,95.9183673469388,99.4897959183673,102.040816326531,102.040816326531,107.142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","159","16521x5391_159","3_16iii","Influenza","7",99.5098039215686,98.0392156862745,100,102.450980392157,104.411764705882,104.901960784314,107.843137254902,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","160","16521x5391_160","3_16iii","Influenza","7",101.063829787234,100,100,103.723404255319,104.255319148936,104.255319148936,108.510638297872,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","161","16521x5391_161","3_16iii","Influenza","7",100.510204081633,97.9591836734694,93.3673469387755,97.4489795918367,102.040816326531,101.020408163265,106.632653061224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC063","75","16521x5391_75","12_15xii","Influenza","10",100.492610837438,99.5073891625616,99.0147783251232,97.5369458128079,101.477832512315,100,100.492610837438,100,101.477832512315,105.911330049261,NA,NA,NA,NA,NA,NA
"CC072xCC063","77","16521x5391_77","12_15xii","Influenza","10",100.444444444444,97.3333333333333,93.7777777777778,93.7777777777778,98.6666666666667,96.4444444444444,97.7777777777778,98.6666666666667,99.1111111111111,102.222222222222,NA,NA,NA,NA,NA,NA
"CC072xCC063","79","16521x5391_79","12_15xii","Influenza","10",100.446428571429,102.232142857143,93.3035714285714,91.9642857142857,97.7678571428571,97.7678571428571,99.1071428571429,100.892857142857,100,104.017857142857,NA,NA,NA,NA,NA,NA
"CC072xCC063","80","16521x5391_80","12_15xii","Influenza","10",97.737556561086,98.1900452488688,92.3076923076923,88.2352941176471,90.9502262443439,93.2126696832579,95.4751131221719,95.9276018099547,96.3800904977376,103.619909502262,NA,NA,NA,NA,NA,NA
"CC072xCC063","22","16521x5391_22","10_15x","Influenza","15",101.333333333333,100.888888888889,98.6666666666667,104,106.666666666667,105.333333333333,108.444444444444,108.444444444444,104.444444444444,106.222222222222,108.444444444444,106.666666666667,108,104.444444444444,106.222222222222,NA
"CC072xCC063","23","16521x5391_23","10_15x","Influenza","15",95.049504950495,98.019801980198,99.5049504950495,99.009900990099,100.495049504951,100,101.980198019802,101.485148514851,98.5148514851485,99.009900990099,102.475247524752,99.5049504950495,100.495049504951,95.049504950495,98.5148514851485,NA
"CC072xCC063","24","16521x5391_24","10_15x","Influenza","15",100.384615384615,98.4615384615385,100,102.307692307692,101.538461538462,103.076923076923,102.307692307692,104.230769230769,102.307692307692,103.076923076923,104.230769230769,103.461538461538,104.230769230769,102.307692307692,105.769230769231,NA
"CC072xCC063","25","16521x5391_25","10_15x","Influenza","15",99.0147783251232,93.103448275862,93.5960591133005,102.463054187192,104.926108374384,105.911330049261,104.926108374384,106.896551724138,104.926108374384,107.881773399015,109.35960591133,105.911330049261,106.4039408867,102.955665024631,104.433497536946,NA
"CC072xCC063","83","16521x5391_83","1_16i","Influenza","45",99.2565055762082,96.6542750929368,97.0260223048327,62.0817843866171,100,102.602230483271,104.089219330855,101.85873605948,102.230483271375,103.717472118959,106.31970260223,105.204460966543,107.434944237918,108.550185873606,108.17843866171,NA
"CC072xCC063","84","16521x5391_84","1_16i","Influenza","45",100.373134328358,99.6268656716418,97.3880597014925,96.6417910447761,97.3880597014925,98.8805970149254,100.373134328358,98.5074626865672,100.373134328358,102.238805970149,102.985074626866,103.358208955224,102.611940298507,104.477611940299,104.850746268657,NA
"CC072xCC063","86","16521x5391_86","1_16i","Influenza","45",101.694915254237,99.1525423728813,97.0338983050847,100,101.694915254237,102.118644067797,102.542372881356,101.271186440678,100.847457627119,100.847457627119,102.118644067797,102.118644067797,103.389830508475,104.661016949153,105.93220338983,NA
