"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC007xCC070","13421","16034","106","45","Influenza","Influenza","HA","10_15x","merged",5.82301628424039,6.3467613976531,4.43659158526856,1.16848965288407,0.0689475777171042,7.21494431560838
"CC007xCC070","13421","16034","121","45","Influenza","Influenza","HA","11_15xi","2016_12_23",7.10017810165543,1.66313769268655,4.62328605460345,0.0794606832878285,0.0773234108161463,7.64352439121686
"CC007xCC070","13421","16034","17","10","Influenza","Influenza","HA","5_15v","2016_02_22",0.0379051526227111,1.73323830880039,1.43596421188493,0.166172808759795,0.767799187987191,2.46072453118783
"CC007xCC070","13421","16034","64","15","Influenza","Influenza","HA","7_15vii","2016_01_13",0.205512881556778,1.3827827500203,0.953786306430413,0.0649051526227113,0.0671534864246271,2.14500420063893
"CC007xCC070","13421","16034","67","15","Influenza","Influenza","HA","7_15vii","merged",4.44838234416488,5.84739533772863,NA,NA,NA,6.55388878494326
"CC007xCC070","13421","16034","7","10","Influenza","Influenza","HA","5_15v","2016_02_22",1.36607594525699,1.55460126034266,2.94411302182971,0.447910697345318,0.246437356514656,4.06224362950905
"CC007xCC070","13421","16034","72","15","Influenza","Influenza","HA","7_15vii","merged",4.32696730636064,4.10629571577103,NA,NA,0.45389936997965,5.52436757239607
"CC007xCC075","13421","3260","40","45","Influenza","Influenza","HA","11_15xi","2016_12_23",3.72570453681083,8.32766166368856,4.87640044832985,1.14093268003481,0.0533822738774312,8.09940999749046
"CC007xCC075","13421","3260","63","10","Influenza","Influenza","HA","3_16iii","merged",0.266886712436818,2.72593676866677,1.16068900880623,0.254476561219855,1.29713347814111,3.99928450041233
"CC007xCC075","13421","3260","64","10","Influenza","Influenza","HA","3_16iii","merged",6.21704260738881,5.93033181209401,2.2352555308161,2.44103462632582,0.889437902643011,7.29313723075215
"CC007xCC075","13421","3260","65","10","Influenza","Influenza","HA","3_16iii","2016_10_10",2.51491111756019,4.75780893334872,1.60171565406906,1.09353374417655,1.57275875120529,5.48581870652329
"CC007xCC075","13421","3260","66","10","Influenza","Influenza","HA","3_16iii","2016_10_10",0.587943349265153,3.95868476644777,2.19737513324419,0.528890926982258,1.0779915430961,5.27681204173095
"CC008xCC018","8036","3609","101","10","Influenza","Influenza","HA","12_15xii","2016_11_25",2.10251618613992,4.41469120722615,2.01723520041817,2.48697308900369,0.984893587336588,5.61183492047623
"CC008xCC018","8036","3609","3","10","Influenza","Influenza","HA","8_15viii","2016_02_22",0.197685914330519,3.73387112880618,1.62777496515824,1.93308770674404,0.40251220951494,4.37267499327321
"CC008xCC018","8036","3609","52","45","Influenza","Influenza","HA","11_15xi","2016_12_23",7.10200817726392,7.90719431560838,6.33088734275912,1.22805751897761,0.0917776533255853,10.0792425094393
"CC008xCC018","8036","3609","53","45","Influenza","Influenza","HA","11_15xi","2016_12_23",7.0881094654196,7.62717476925927,6.46485135844312,4.03468188207949,0.0549051526227113,9.97387334113261
"CC008xCC018","8036","3609","7","10","Influenza","Influenza","HA","8_15viii","2016_02_22",0.0952285634388576,1.4920914871681,1.1200075330351,1.22302663135632,0.248548417844892,2.66369809603244
"CC008xCC018","8036","3609","8","10","Influenza","Influenza","HA","8_15viii","2016_02_22",0.0997743209294183,3.73010324865515,1.70186648013936,1.40225564282307,0.8018711566192,4.58098219013642
"CC009xCC040","5489","16557","1","10","Influenza","Influenza","HA","12_13xii","merged",1.12712959961659,8.04204315351716,5.69576550019158,2.84635403270396,1.46529518354919,NA
"CC009xCC040","5489","16557","1","10","Influenza","Influenza","HA","12_13xii","2014_01_17",NA,NA,NA,NA,NA,5.4043058249665
"CC009xCC040","5489","16557","24","45","Influenza","Influenza","HA","12_13xii","2014_05_26",5.25320008434492,10.774143657624,7.43421629829787,1.64590980128953,0.0285195463491129,11.3663491183036
