"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",7,8
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",0,7
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",6,8
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",5,8
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",0,5
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0,1
"CC003xCC051","138","13067x16912_138","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",7,8
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0,0
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",1,3
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",1,3
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",1,3
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0,2
"CC003xCC051","162","13067x16912_162","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",2,5
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0,0
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",2,5
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",1,4
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",0,1
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0,1
"CC003xCC051","163","13067x16912_163","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",3,5
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG1","Flu","HA","2014_05_20",0,0
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG2ac","Flu","HA","2014_05_20",1,4
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG2b","Flu","HA","2014_05_20",0,2
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgG3","Flu","HA","2014_05_20",0,2
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","IgM","Flu","HA","2014_05_20",0,1
"CC003xCC051","164","13067x16912_164","10","Influenza","1_14i","TotalG","Flu","HA","2014_05_20",2,4
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG1","Flu","HA","2013_12_12",3,5
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG1","Flu","HA.1","2013_12_03",0,1
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG2b","Flu","HA","2013_12_03",2,4
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgG3","Flu","HA","2013_12_03",2,4
"CC003xCC051","36","13067x16912_36","15","Influenza","8_13viii","IgM","Flu","HA","2013_12_03",0,2
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG1","Flu","HA","2013_12_12",2,4
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG1","Flu","HA.1","2013_12_03",0,3
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG2ac","Flu","HA","2013_12_03",2,4
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG2b","Flu","HA","2013_12_03",2,4
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgG3","Flu","HA","2013_12_03",1,3
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","IgM","Flu","HA","2013_12_03",0,2
"CC003xCC051","37","13067x16912_37","15","Influenza","8_13viii","TotalG","Flu","HA","2013_12_03",2,5
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","IgG1","Flu","HA","2017_02_15",0,0
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","IgG2ac","Flu","HA","2017_02_15",0,2
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","IgG2b","Flu","HA","2017_02_15",1,5
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","IgG3","Flu","HA","2017_02_15",0,2
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","IgM","Flu","HA","2017_02_15",0,2
"CC003xCC062","24","13067x5306_24","15","Influenza","1_15i","TotalG","Flu","HA","2017_02_15",3,6
"CC003xCC062","29","13067x5306_29","15","Influenza","1_15i","IgG1","Flu","HA","2017_02_15",0,0
"CC003xCC062","29","13067x5306_29","15","Influenza","1_15i","IgG2ac","Flu","HA","2017_02_15",0,4
"CC003xCC062","29","13067x5306_29","15","Influenza","1_15i","IgG2b","Flu","HA","2017_02_15",0,4
"CC003xCC062","29","13067x5306_29","15","Influenza","1_15i","IgG3","Flu","HA","2017_02_15",1,5
