"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","AUC"
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","IgM","Flu","HA","2016_06_22",0.119757882962527
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","IgG3","Flu","HA","2016_06_22",0.398015317897163
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","IgG1","Flu","HA","2016_06_22",0.0368365163868702
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","IgG2ac","Flu","HA","2016_06_22",1.66351596212598
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","IgM","Flu","HA","2016_06_22",0.502201456241626
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","IgG1","Flu","HA","2016_06_22",0.0243169700377574
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","IgG2b","Flu","HA","2016_06_22",0.461162363543399
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","IgG2ac","Flu","HA","2016_06_22",0.806132147963952
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","TotalG","Flu","HA","2016_06_22",1.54415679100777
"CC033xCC068","4","8033x16768_4","10","Influenza","8_15viii","IgG3","Flu","HA","2016_06_22",0.0754704564623846
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","IgM","Flu","HA","2016_12_09",0.0978887146558193
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","TotalG","Flu","HA","2016_12_09",9.279863791972
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","IgG2b","Flu","HA","2016_12_09",4.66627317304667
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","IgG3","Flu","HA","2016_12_09",1.40985404661047
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","IgG1","Flu","HA","2016_12_09",7.33408325427815
"CC033xCC068","49","8033x16768_49","45","Influenza","9_15ix","IgG2ac","Flu","HA","2016_12_09",8.80722651950034
"CC033xCC068","50","8033x16768_50","45","Influenza","9_15ix","IgG2b","Flu","HA","2016_12_14",3.23565634297989
"CC033xCC068","50","8033x16768_50","45","Influenza","9_15ix","TotalG","Flu","HA","2016_12_14",8.5202334083066
